Michael Schulz|https://pretalx.com/fossgis2020/speaker/HLHQKX/|./loc/img/mschulz.jpg|Lokal Team
Marco Lechner||./loc/img/mlechner.jpg|Lokal Team, Programmkomitee
Nils Riach||./loc/img/nriach.jpg|Lokal Team
Stefan Giese|https://pretalx.com/fossgis2019/speaker/8DVQDE/|./loc/img/stef.png|Lokal Team, Social Event, Ice Breaker
Rafael Hologa||./loc/img/rhologa.jpg|Lokal Team
Thomas Baumann||./loc/img/tbaumann.jpg|Lokal Team
Jan Espenlaub||./loc/img/jespenlaub.jpg|Lokal Team
Solveig Schwarz|||Lokal Team
Fabian Merthin|||Lokal Team
Jesper Kupke|||Lokal Team
Claudia Rodat|||Lokal Team
Thomas Skowron|https://thomas.skowron.eu|./loc/img/tskowron.jpg|Leiter Programmkomitee
Katja Haferkorn||./loc/img/hafik.png|Koordination Konferenzorganisation, Schnittstelle FOSSGIS-Konferenzorgateam und Local Team, Teilnehmerbetreuung, Teilnehmeranmeldesystem, Presse, Sponsorenbetreuung, Sektempfang
Michael Reichert|||Programmkomitee, Programmheft
Marc Gehling|||Anmeldesystem, OSM Samstag, Videoaufzeichnung
Falk Zscheile|||Programmkomitee, Rechtliches
Christoph Hormann|||OSM Samstag
Till Adams | https://wiki.osgeo.org/wiki/User:Till_Adams | https://wiki.osgeo.org/images/a/a3/Till.jpg |Programmkomitee
Arne Schubert|https://atd.yagajs.org/|./loc/img/atd.jpg|FOSSGIS-App
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./loc/img/aemde.jpg|Programmkomitee, Presse, Sektempfang
Christopher Lorenz||./loc/img/christopher.jpg|Programmkomitee
Lars Lingner|https://www.osgeo.org/member/lingner/||Anmeldesystem
Stephan Herritsch|https://steve.yagajs.org/|./loc/img/steve.jpg|FOSSGIS-App
Jörg Thomsen|https://www.fossgis-konferenz.de/2018/programm/speaker.php?id=1655|./loc/img/thomsenj.jpeg|Tagungsband
Hanna Krüger|||Programmkomitee
Johannes Kröger|||Programmkomitee
C3VOC|https://c3voc.de/|https://www.fossgis-konferenz.de/2018/img/s/402_voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
