Martin Kappas ||./team/img/FOSSGIS 26_wHG_RGB.png|Team Uni Göttingen, LOC, Programmkomitee
Martina Beck ||./team/img/FOSSGIS 26_wHG_RGB.png|Team Uni Göttingen, LOC
Janine Raatz ||./img/FOSSGIS 26_wHG_RGB.png| LOC Göttingen, FOSSGIS Core Team, Programmkomitee
Daniel Keune ||./img/FOSSGIS 26_wHG_RGB.png| LOC Göttingen, T-Shirt, Taschen
Katja Haferkorn||./team/img/hafi.jpg|FOSSGIS Core Team, Koordination Konferenzorganisation
Rieke Wolters ||./img/FOSSGIS 26_wHG_RGB.png| LOC Göttingen
Neele Dietrich ||./img/FOSSGIS 26_wHG_RGB.png| LOC Göttingen
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./team/img/aemde.jpg|Programm-Komitee, Konferenzorgateam
Berit Mohr||./team/img/berit.png|Programm-Komitee, Konferenzorgateam
Björn Hinkeldey||./team/img/FOSSGIS 26_wHG_RGB.png| Programmkomitee
Christian Strobl||./team/img/christian_strobl.jpg|Programm-Komitee, Academic Track Team im Programm-Komitee
Christopher Lorenz||./team/img/christopher.jpg|FOSSGIS Core Team, Programm-Komitee, Technik, OSM-Samstag
Daniel Wyss||./team/img/FOSSGIS 26_wHG_RGB.png|Team Uni Göttingen, LOC, Programmkomitee
Helga Tauscher||./team/img/FOSSGIS 26_wHG_RGB.png| Academic Track
Jannik Schilling ||./team/img/FOSSGIS 26_wHG_RGB.png| Programmkomitee
Jan Schmalfuß-Schwarz||./team/img/FOSSGIS 26_wHG_RGB.png|Programm-Komitee, Academic Track
Maik S. ||./team/img/FOSSGIS 26_wHG_RGB.png|FOSSGIS Core Team, Programm-Komitee
Michael Scholz||./team/img/michi.jpeg| Programm-Komitee, Academic Track
Moritz Fiedler||./team/img/FOSSGIS 26_wHG_RGB.png| Programm-Komitee
Pirmin Kalberer||./team/img/pirmin_gravatar.jpg|Programm-Komitee
Torsten Wiebke||./team/img/Torst_Wie.jpg|Academic Track Team im Programm-Komitee
Ulrike Assmann||./team/img/uassmann.jpg|Programm-Komitee
Volker Grescho||./team/img/volker_grescho.jpg|FOSSGIS Core Team, Helfer Orga
Marc Gehling||./team/img/marc.jpeg|FOSSGIS Core Team, Anmeldesystem 
Lars Lingner||./team/img/lars.png|Workshoporganisation
Floriam Katerndahl||./team/img/FOSSGIS 26_wHG_RGB.png| Konferenzorgateam, Anmeldung
Benjamin Jakimow|https://www.geographie.hu-berlin.de/en/professorships/eol/people/labmembers/benjamin_jakimow|./team/img/bjak.jpeg|Namenschilder
Niklas Alt |https://hlgl.hessen.de/ueber-uns/mitarbeiterinnen/niklas-alt|./team/img/nalt.jpg|Umfrage 
David Arndt||./team/img/David.png|Finanzen
Falk Zscheile||./team/img/FOSSGIS 26_wHG_RGB.png|Rechtliches
Oliver Rudzick||./team/img/Rudzick.jpg|Programmheft
Jörg Thomsen|https://www.osgeo.org/member/thomsen/|./team/img/thomsenj.jpeg|Tagungsband, Sessionleitung
Jakob Miksch||./team/img/jakobmiksch.png | Community Sprint
C3VOC|https://c3voc.de/|./team/img/voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
