Tobia Lakes
Benjamin Jakimow
Thomas Hoffmann
Dirk Schroer||./team/img/dirk.png|Standortlogo, Artwork
Volker Grescho||./team/img/volker_grescho.jpg|FOSSGIS Core Team, Helfer Orga, Sessionleitung
Marc Gehling|||FOSSGIS Core Team, Anmeldesystem, Helfersystem 
Maik Sydoruk|||Organisation Welcome Desk, Programm-Komitee
Niklas Alt|https://hlgl.hessen.de/ueber-uns/mitarbeiterinnen/niklas-alt|./team/img/nalt.jpg|FOSSGIS Core Team, Lokal Team, Umfrage, Sessionleitung
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./team/img/aemde.jpg|Leitung Programm-Komitee, FOSSGIS Core Team, Sessionleitung 
Christopher Lorenz||./team/img/christopher.jpg|Programm-Komitee, Technik
Marc Jansen|https://www.terrestris.de/|./team/img/marc_jansen.jpg|Programm-Komitee
Prof. Stefan Keller|https://pretalx.com/fossgis2021/speaker/EM9MWR/|./team/img/skeller.jpg|Programm-Komitee, Academic Track Team  
Ulrike Assmann||./team/img/uassmann.jpg|Programm-Komitee  
Torsten Wiebke||./team/img/Torst_Wie.jpg|Programm-Komitee, Academic Track Team
Christian Strobl||./team/img/christian_strobl.jpg|Programm-Komitee    
Pirmin Kalberer ||./team/img/pirmin_gravatar.jpg|Programm-Komitee, Sessionleitung    
Pascal Neis|||Programm-Komitee
Peter Löwe|||Programm-Komitee, Academic Track Team
Ralf Löwner|||Programm-Komitee, Academic Track Team
Andreas Jobst|||Programm-Komitee
Oliver Rudzick|||Programmheft  
Jörg Thomsen|https://www.osgeo.org/member/thomsen/|./team/img/thomsenj.jpeg|Tagungsband, Sessionleitung  
Falk Zscheile|||Rechtliches
Lars Lingner||./team/img/lars_lingner.jpg|Workshoporganisation
Katja Haferkorn||./team/img/hafi.jpg|FOSSGIS Core Team, Koordination Konferenzorganisation    
C3VOC|https://c3voc.de/|./team/img/voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
