Frank Schwarzbach|https://www.htw-dresden.de/fakultaet-geoinformation/fakultaet/personal/prof-dr-ing-schwarzbach.html|./loc/img/frank_s.jpg|Lokal Team Leitung, Social Event
Benjamin Thurm|https://github.com/bentrm|./loc/img/benjamin_t.jpeg|Lokal Team stellv. Leitung, Technik, Räume, Programmkommittee
Hendrik Görne||./loc/img/hendrik_g.jpg|Lokal Team, Technik, Räume, Welcome Desk
Tim Kaiser|https://www.htw-dresden.de/de/fakultaet-geoinformation/labore/grafische-datenverarbeitung/mitarbeiter.html|./loc/img/tim_k.jpg|Lokal Team, Technik, Räume, Welcome Desk
Ines Schwarzbach|||Lokal Team, Catering
Heike Siegle||./loc/img/heike_s.jpg|Lokal Team, Workshops
Enrico Romanschek||./loc/img/enrico_r.jpg|Lokal Team, OSM-Samstag
Jens Ullrich|||Lokal Team, Infrastruktur
Udo Steinborn||./loc/img/udo_s.jpg|Lokal Team, Logistik
Stefan Schulze|||Lokal Team, Artwork
Kathleen Schäfer|||Lokal Team, Artwork
Bettina Bruschke|https://www.htw-dresden.de/fakultaet-geoinformation/intern/laboringenieure/dipl-ing-bettina-bruschke.html|./loc/img/bettina_b.jpg|Lokal Team
Katja Haferkorn||./loc/img/hafik.png|Koordination Konferenzorganisation, Schnittstelle FOSSGIS-Konferenzorgateam und Local Team, Teilnehmerbetreuung, Teilnehmeranmeldesystem, Presse, Sponsorenbetreuung, Sektempfang
Michael Reichert|||Programmkommittee, Programmheft
Frederik Ramm|||Programmkommittee, Finanzen FOSSGIS e.V.
Marc Gehling|||Programmkommittee, Anmeldesystem, OSM Samstag, Videoaufzeichnung
Dominik Helle|||Programmkommittee
Falk Zscheile|||Programmkommittee, Rechtliches
Peter Barth|||OSM Samstag
Arne Schubert|https://atd.yagajs.org/|./loc/img/atd.jpg|Programmkommittee, FOSSGIS-App
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./loc/img/aemde.jpg|Programmkommittee, Presse, Sektempfang
Christopher Lorenz|||Programmkommittee
Lars Lingner|https://www.osgeo.org/member/lingner/||Programmkommittee, Anmeldesystem
Stephan Herritsch|https://steve.yagajs.org/|./loc/img/steve.jpg|Programmkommittee, FOSSGIS-App
Jörg Thomsen|https://www.fossgis-konferenz.de/2018/programm/speaker.php?id=1655|./loc/img/thomsenj.jpeg|Tagungsband
Bastian Drees|http://wiki.osgeo.org/wiki/User:Bastian||Veröffentlichung der Videoaufzeichnungen im TIB-AV Portal
C3VOC|https://c3voc.de/|https://www.fossgis-konferenz.de/2018/img/s/402_voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
