Christian Knoth| |./team/img/Christian.jpg|Team Uni Münster, LOC
Thomas Bartoschek | |./img/FOSSGIS 25_FIN_tBG_RGB.png|Team Uni Münster, LOC
Benedikt Gräler| |./img/FOSSGIS 25_FIN_tBG_RGB.png|Team Uni Münster, LOC
Edzer Pebesma| |./img/FOSSGIS 25_FIN_tBG_RGB.png|Institut für Geoinformatik Uni Münster  
Johannes Wagner| |./img/FOSSGIS 25_FIN_tBG_RGB.png|LOC, Organisation Welcome Desk
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./team/img/aemde.jpg|Programm-Komitee, FOSSGIS Core Team, Sessionleitung
Benjamin Jakimow|https://www.geographie.hu-berlin.de/en/professorships/eol/people/labmembers/benjamin_jakimow|./team/img/bjak.jpeg|Namenschilder, Sessionleitung
Berit Mohr||./team/img/berit.png|Programm-Komitee
Christian Strobl||./team/img/christian_strobl.jpg|Programm-Komitee, Academic Track Team im Programm-Komitee
Christopher Lorenz||./team/img/christopher.jpg|FOSSGIS Core Team, Programm-Komitee, Technik
Dirk Schroer||./team/img/Dirk.jpg|Standortlogo, Artwork
David Arndt||./team/img/David.png|Finanzen
Falk Zscheile| |./img/FOSSGIS 25_FIN_tBG_RGB.png|Rechtliches
Güren Tan Dinga| |./team/img/dinga.jpg|Programm-Komitee
Jakob Miksch| |./team/img/jakobmiksch.png | Community Sprint
Jan Schmalfuß-Schwarz| |./img/FOSSGIS 25_FIN_tBG_RGB.png|Programm-Komitee, Academic Track
Janine Raatz | |./img/FOSSGIS 25_FIN_tBG_RGB.png| FOSSGIS Core Team, Welcome Desk
Jörg Thomsen|https://www.osgeo.org/member/thomsen/|./team/img/thomsenj.jpeg|Tagungsband, Sessionleitung
Katja Haferkorn||./team/img/hafi.jpg|FOSSGIS Core Team, Koordination Konferenzorganisation
Lars Lingner| |./team/img/lars.png|Workshoporganisation
Maik Sydoruk| |./img/FOSSGIS 25_FIN_tBG_RGB.png|Core Team, Organisation Welcome Desk, Programm-Komitee
Marc Gehling| |./team/img/marc.jpeg|FOSSGIS Core Team, Anmeldesystem, Helfersystem 
Michael Scholz| |./team/img/michi.jpeg| Programm-Komitee, Academic Track
Moritz Fiedler| |./img/FOSSGIS 25_FIN_tBG_RGB.png| Programm-Komitee
Niklas Alt|https://hlgl.hessen.de/ueber-uns/mitarbeiterinnen/niklas-alt|./team/img/nalt.jpg|Academic Track Team im Programm-Komitee, Umfrage, Sessionleitung 
Oliver Rudzick||./team/img/Rudzick.jpg|Programmheft
Peter Löwe||./img/FOSSGIS 25_FIN_tBG_RGB.png|Academic Track Team im Programm-Komitee
Pirmin Kalberer ||./team/img/pirmin_gravatar.jpg|Programm-Komitee, Sessionleitung
Torsten Wiebke||./team/img/Torst_Wie.jpg|Academic Track Team im Programm-Komitee
Ulrike Assmann||./team/img/uassmann.jpg|Programm-Komitee
Volker Grescho||./team/img/volker_grescho.jpg|FOSSGIS Core Team, Helfer Orga, Sessionleitung
C3VOC|https://c3voc.de/|./team/img/voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
